,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
522,63ce888dc7c0c80007db8d19,GMRINFRA,EQ,N,46.1,44.6,45.35,44.85,44.85,45.35,21995345,991281267.7,49.15,22.5,46950,INE776C01039,2022-01-17,2022-01-16T18:30:00.000Z,2023-01-23T13:15:57.542Z,2023-01-23T13:15:57.542Z,0,,45.07,17-Jan-2022,,
523,63ce889c3853d8000737ce6c,GMRINFRA,EQ,N,45.2,43.1,45.2,43.4,43.5,44.85,16301907,723848290.1,49.15,22.5,51073,INE776C01039,2022-01-18,2022-01-17T18:30:00.000Z,2023-01-23T13:16:12.790Z,2023-01-23T13:16:12.790Z,0,,44.4,18-Jan-2022,,
524,63ce88ac8e4da900077ab630,GMRINFRA,EQ,N,44.2,42.1,43.5,44.05,44.0,43.4,15624047,683577030.55,49.15,22.5,51451,INE776C01039,2022-01-19,2022-01-18T18:30:00.000Z,2023-01-23T13:16:28.134Z,2023-01-23T13:16:28.134Z,0,,43.75,19-Jan-2022,,
525,63ce88bb3853d8000737d8ba,GMRINFRA,EQ,N,44.4,43.05,44.0,43.35,43.35,44.05,15511799,676279220.05,49.15,22.5,40756,INE776C01039,2022-01-20,2022-01-19T18:30:00.000Z,2023-01-23T13:16:43.236Z,2023-01-23T13:16:43.236Z,0,,43.6,20-Jan-2022,,
526,63ce88cac7307c0007d9e332,GMRINFRA,EQ,N,43.7,42.0,43.35,42.3,42.4,43.35,8765751,375733781.5,49.15,22.5,44176,INE776C01039,2022-01-21,2022-01-20T18:30:00.000Z,2023-01-23T13:16:58.453Z,2023-01-23T13:16:58.453Z,0,,42.86,21-Jan-2022,,
527,63ce88d9c943230007f83f18,GMRINFRA,EQ,N,42.75,39.6,42.3,39.95,39.7,42.3,11945896,485768797.7,49.15,22.5,50200,INE776C01039,2022-01-24,2022-01-23T18:30:00.000Z,2023-01-23T13:17:13.681Z,2023-01-23T13:17:13.681Z,0,,40.66,24-Jan-2022,,
528,63ce88e8c5be4000073633fd,GMRINFRA,EQ,N,40.8,39.0,39.75,40.4,40.35,39.95,12643024,509923925.45,49.15,22.5,44586,INE776C01039,2022-01-25,2022-01-24T18:30:00.000Z,2023-01-23T13:17:28.714Z,2023-01-23T13:17:28.714Z,0,,40.33,25-Jan-2022,,
529,63ce88f7c7307c0007d9ecbd,GMRINFRA,EQ,N,40.3,39.05,40.3,40.0,40.05,40.4,16724976,661769698.75,49.15,22.5,48096,INE776C01039,2022-01-27,2022-01-26T18:30:00.000Z,2023-01-23T13:17:43.845Z,2023-01-23T13:17:43.845Z,0,,39.57,27-Jan-2022,,
530,63ce8907c7307c0007d9f63f,GMRINFRA,EQ,N,41.5,40.15,40.25,40.55,40.65,40.0,12378345,506993098.75,49.15,22.5,17271,INE776C01039,2022-01-28,2022-01-27T18:30:00.000Z,2023-01-23T13:17:59.159Z,2023-01-23T13:17:59.159Z,0,,40.96,28-Jan-2022,,
531,63ce8916bca9320007ebd5ca,GMRINFRA,EQ,N,42.4,40.8,41.05,42.1,42.4,40.55,16348373,683585099.65,49.15,22.5,77612,INE776C01039,2022-01-31,2022-01-30T18:30:00.000Z,2023-01-23T13:18:14.210Z,2023-01-23T13:18:14.210Z,0,,41.81,31-Jan-2022,,
